song,artist,reentry_count,momentum_score,retention_days,fandom_score
Face-off,Jimin,10,9.5,14.0,11.05
Jealousyvalhalla,YANGHONGWON,1,35.0,,10.9
You & Me (Coachella ver.),JENNIE,1,35.0,,10.9
Closer to You (feat. Major Lazer),Jung Kook,13,3.4615384615384617,15.416666666666666,10.86346153846154
Get A Guitar,RIIZE,8,5.25,19.857142857142858,10.732142857142858
Bubble Gum,NewJeans,7,10.571428571428571,15.666666666666666,10.67142857142857
Who (Acoustic Remix),Jimin,5,7.6,21.0,10.579999999999998
Who (Rock Remix),Jimin,5,7.4,21.0,10.52
"yes, and?",Ariana Grande,3,16.333333333333332,14.0,10.3
Who (Shibuyakei Remix),Jimin,8,9.625,14.0,10.287500000000001
Dance The Night (From Barbie The Album),Dua Lipa,3,4.0,25.5,10.05
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,4,15.75,11.666666666666666,9.825
Hate You,Jung Kook,6,6.5,17.8,9.690000000000001
Sudden Shower,ECLIPSE,4,7.5,19.333333333333332,9.65
"How can I love the heartbreak, you're the one I love",AKMU,2,4.5,25.0,9.65
Who (Funky Remix),Jimin,12,6.5,8.909090909090908,9.422727272727274
Too Sad to Dance,Jung Kook,9,5.777777777777778,13.375,9.345833333333333
Who (Beautiful Mind Remix),Jimin,12,5.416666666666667,9.727272727272727,9.343181818181819
T.B.H,QWER,8,6.125,13.857142857142858,9.194642857142856
Somebody,Jung Kook,15,3.6666666666666665,6.714285714285714,9.114285714285714
Who (Instrumental),Jimin,9,6.111111111111111,12.25,9.108333333333334
Shot Glass of Tears,Jung Kook,5,3.8,19.75,9.065
Super,SEVENTEEN,2,3.0,24.0,8.899999999999999
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,5,2.8,19.75,8.765
My Love Mine All Mine,Mitski,10,4.6,10.777777777777779,8.613333333333333
Not Like Us,Kendrick Lamar,5,6.2,15.5,8.51
All I Want for Christmas Is You,Mariah Carey,1,27.0,,8.5
Lucky Girl Syndrome,ILLIT,4,6.0,16.666666666666668,8.4
Baddie,IVE,3,1.6666666666666667,22.0,8.3
AK47,Men's Tear & 뷰티풀너드,2,13.5,11.0,8.149999999999999
