song,artist,reentry_count
Lost and Found,KingLee & Lil' Flip,1
NIGHT DANCER - BIG Naughty Remix,imase & BIG Naughty,1
Nice Guy,BOYNEXTDOOR,1
MEOW,MEOVV,1
You & Me (Coachella ver.),JENNIE,1
Young Man,HYUKOH & 落日飛車 Sunset Rollercoaster,1
euphoria,Kendrick Lamar,1
bye,Ariana Grande,1
greedy,Tate McRae,1
Jealousyvalhalla,YANGHONGWON,1
Pleasure Shop,KEY,1
Last Christmas - Single Version,Wham!,1
K-POP,Travis Scott & Bad Bunny & The Weeknd,1
Love Lee,AKMU,1
Little Light,DOYOUNG,1
Like That,Future & Metro Boomin,1
Love You With All My Heart,Crush,1
Mars,D.O.,1
MAESTRO,SEVENTEEN,1
3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,1
Armageddon,aespa & Grimes & Flava D,1
All Or Nothing,J Money & KingLee,1
ANTIFRAGILE,LE SSERAFIM,1
All I Want for Christmas Is You,Mariah Carey,1
ABCD,NAYEON,1
3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,1
Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,1
"If I’m S, Can You Be My N?",TWS,1
I will come to you,Jin,1
I Like Me Better,Lauv,1
I Had Some Help (Feat. Morgan Wallen),Post Malone & Morgan Wallen,1
Rockstar,LISA,1
Rebirth (Intro),Jimin,1
HAPPY,DAY6,1
SHEESH,BABYMONSTER,1
I’ll See You There Tomorrow,TOMORROW X TOGETHER,1
Interlude : Showtime,Jimin,1
Impossible,RIIZE,1
No Tomorrow - Spotify Singles,Various Artists,1
Snowman,Sia,1
Fact Check,NCT 127,1
Seven (feat. Latto) (Instrumental),Jung Kook & Latto,1
Spicy,aespa,1
Guess featuring Billie Eilish,Charli xcx & Billie Eilish,1
Girls Never Die,tripleS,1
Fighting (Feat. Lee Young Ji),BSS,1
For Us,V,1
Smeraldo Garden Marching Band (feat. Loco),Jimin & Loco,1
Stay Alive (Prod. SUGA of BTS),Jung Kook,1
Steady,NCT WISH,1
Dare to Love (feat. BIG Naughty),B.I,1
Super Lady,(G)I-DLE,1
"Steal The Show - From ""Elemental""",Lauv,1
Still With You,Jung Kook,1
Smeraldo Garden Marching Band (feat. Loco),Jimin,1
Seven (feat. Latto) (Summer Mix),Jung Kook & Latto,1
Slow Dance (feat. Sofia Carson),Jimin,1
Slow Dancing (Piano Ver.),V,1
Swan Song,LE SSERAFIM,1
FIELD TRIP,¥$ & Kanye West & Ty Dolla $ign,1
Don't Look Back In Anger - Remastered,Oasis,1
Discord,QWER,1
Tick-Tack,ILLIT,1
Thirsty,aespa,1
Take Two,BTS,1
That's What I Like,Bruno Mars,1
Christmas Tree,V,1
Click Like (Prod. Crush) (Feat. Paul Blanco),Various Artists,1
Come back to me,RM,1
Cool With You,NewJeans,1
Cosmic,Red Velvet,1
Cupid,FIFTY FIFTY,1
CRAZY,LE SSERAFIM,1
Chk Chk Boom,Stray Kids,1
Baggy Jeans,NCT,1
Cupido,Engel Montaz & Kuv507 & Latinnites Music,1
Big Dawgs,Hanumankind & Kalmi,1
Be Mine,Jimin,1
Broken Melodies,NCT DREAM,1
But Sometimes,BOYNEXTDOOR,1
