song,artist,retention_days
Lovin On Me,Jack Harlow,6.0
Intro: Singularity,BTS,6.0
vampire,Olivia Rodrigo,6.0
Promise,Jimin,5.625
Like Crazy (Deep House Remix),Jimin,5.25
NEMONEMO,YENA,5.25
Like Crazy (UK Garage Remix),Jimin,5.142857142857143
I Don’t Think That I Like Her,Charlie Puth,5.0
Teddy Bear,STAYC,5.0
Spring Snow,10CM,5.0
In Bloom,ZEROBASEONE,5.0
Fortnight (feat. Post Malone),Taylor Swift,5.0
Queencard,(G)I-DLE,5.0
CARNIVAL,¥$ & Kanye West & Ty Dolla $ign,4.5
Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,4.5
Candy (Feat. Zion.T),Jay Park,4.5
Taste,Sabrina Carpenter,4.0
Blue,V,3.6666666666666665
Sweet Night,V,3.0
Drowning,WOODZ,3.0
Don't Look Back in Anger - Remastered,Oasis,2.0
Kitsch,IVE,2.0
Love Me Like This,NMIXX,2.0
Seven (feat. Latto) (Alesso Remix),Jung Kook & Latto,2.0
3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,
3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,
ABCD,NAYEON,
ANTIFRAGILE,LE SSERAFIM,
All I Want for Christmas Is You,Mariah Carey,
All Or Nothing,J Money & KingLee,
Armageddon,aespa & Grimes & Flava D,
Baggy Jeans,NCT,
Be Mine,Jimin,
Big Dawgs,Hanumankind & Kalmi,
Bite Me,ENHYPEN,
Broken Melodies,NCT DREAM,
But Sometimes,BOYNEXTDOOR,
CHIHIRO,Billie Eilish,
CRAZY,LE SSERAFIM,
Chk Chk Boom,Stray Kids,
Christmas Tree,V,
Click Like (Prod. Crush) (Feat. Paul Blanco),Various Artists,
Come back to me,RM,
Cool With You,NewJeans,
Cosmic,Red Velvet,
Cupid,FIFTY FIFTY,
Cupido,Engel Montaz & Kuv507 & Latinnites Music,
Dare to Love (feat. BIG Naughty),B.I,
Discord,QWER,
Don't Look Back In Anger - Remastered,Oasis,
FIELD TRIP,¥$ & Kanye West & Ty Dolla $ign,
Fact Check,NCT 127,
Fighting (Feat. Lee Young Ji),BSS,
For Us,V,
Girls Never Die,tripleS,
Guess featuring Billie Eilish,Charli xcx & Billie Eilish,
HAPPY,DAY6,
I Had Some Help (Feat. Morgan Wallen),Post Malone & Morgan Wallen,
I Like Me Better,Lauv,
I will come to you,Jin,
"If I’m S, Can You Be My N?",TWS,
Impossible,RIIZE,
Interlude : Showtime,Jimin,
I’ll See You There Tomorrow,TOMORROW X TOGETHER,
